TOPIC,DESCRIPTION,,Count,
Other language(s) used regularly at work,"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2020 - 25% sample data",197,764085,
Other language(s) used regularly at work,  None,,734060,
Other language(s) used regularly at work,  English,,5720,
Other language(s) used regularly at work,  French,,4720,
Other language(s) used regularly at work,  Non-official language,,16030,
Other language(s) used regularly at work,    Indigenous,39,90,
Other language(s) used regularly at work,    Non-Indigenous,,15945,
Other language(s) used regularly at work,  English and French,,15,
Other language(s) used regularly at work,  English and non-official language(s),,640,
Other language(s) used regularly at work,  French and non-official language(s),,440,
Other language(s) used regularly at work,"  English, French and non-official language(s)",,0,
Other language(s) used regularly at work,  Multiple non-official languages,,2460,
Place of work status,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,198,638645,
Place of work status,  Worked at home,,182015,
Place of work status,  Worked outside Canada,,2460,
Place of work status,  No fixed workplace address,,89650,
Place of work status,  Usual place of work,,364515,
Commuting destination,Total - Commuting destination for the employed labour force aged 15 years and over with a usual place of work - 25% sample data,199,364520,
Commuting destination,  Commute within census subdivision (CSD) of residence,,332545,
Commuting destination,  Commute to a different census subdivision (CSD) within census division (CD) of residence,,22900,
Commuting destination,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,,5875,
Commuting destination,  Commute to a different province or territory,,3200,
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,200,454170,
Main mode of commuting,"  Car, truck or van",,378085,
Main mode of commuting,"    Car, truck or van - as a driver",,350765,
Main mode of commuting,"    Car, truck or van - as a passenger",,27315,
Main mode of commuting,  Public transit,,39905,
Main mode of commuting,  Walked,,19195,
Main mode of commuting,  Bicycle,,3955,
Main mode of commuting,  Other method,,13035,
Commuting duration,Total - Commuting duration for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,201,454170,
Commuting duration,  Less than 15 minutes,,97610,
Commuting duration,  15 to 29 minutes,,213150,
Commuting duration,  30 to 44 minutes,,99695,
Commuting duration,  45 to 59 minutes,,20845,
Commuting duration,  60 minutes and over,,22870,
Time leaving for work,Total - Time leaving for work for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,202,454170,
Time leaving for work,  Between 5 a.m. and 5:59 a.m.,,28655,
